classDuration,classInfo,classMapURL,className,classTrialURL,dance,fitness,other,latitude,longitude,city,county,state,address,img_path
7,a dance class,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiygLClpun6AhWsFdQBHcYXCYkYABACGgJvYQ&ohost=www.google.com&cid=CAESaOD2oCHLcNIaaibRkbbNhOflD5b-sW6Bf_weGm8MV6SSHuerTql2s4W9KsUnTdrNEojidB4d4IWYrLwiGq1FybAzyyrDbEWPY77z-KrJmUPcda-tG-QbCaOA81VuFPF3fxM-gvmS1U9v&sig=AOD64_3tzJZvnT90vIqFV6Ppp5k4K_1XVQ&q&adurl&ved=2ahUKEwi03aalpun6AhW-nGoFHUlFATYQ0Qx6BAgJEAE,dance studio,https://www.arthurmurrayclub.co,TRUE,FALSE,FALSE,37.7888056,-122.425091,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\dance.png
1 day,FREE Trial Class: #17 - Adult Jazz (18+) - Ms. Marcie in Studio D,https://goo.gl/maps/tXp6VsjcxmUXxv2R7,FREE Trial Class,https://www.danceacademyusa.com/free-trial-sign-up?gclid=CjwKCAiApvebBhAvEiwAe7mHSKWb5dMKadie25MFeham5PfcoM_LiSki-PCg6ePGTpi3xeyqvbLhqxoCYLUQAvD_BwE,TRUE,FALSE,FALSE,37.3222791,-122.0223325,Cupertino,Santa Clara County,California,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\dance.png
14,https://www.magicdancearts.com/?gclid=EAIaIQobChMIkvGIhYrt-gIVcCqtBh0KLwzIEAAYASAAEgLD_vD_BwE,https://www.magicdancearts.com/?gclid=EAIaIQobChMIkvGIhYrt-gIVcCqtBh0KLwzIEAAYASAAEgLD_vD_BwE,https://www.magicdancearts.com/?gclid=EAIaIQobChMIkvGIhYrt-gIVcCqtBh0KLwzIEAAYASAAEgLD_vD_BwE,https://www.magicdancearts.com/?gclid=EAIaIQobChMIkvGIhYrt-gIVcCqtBh0KLwzIEAAYASAAEgLD_vD_BwE,TRUE,FALSE,FALSE,37.2794824,-122.2391224,San Mateo County,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\dance.png
"C+A1:O39 will be Tuesdays from 11am - 12:00pm, from April 20 through May 26, with the possibility of continuing through the summer.","In our commitment to making dance accessible to the community, Rhythm & Motion and Yerba Buena Gardens Festival invite you to join us for socially distanced, free R&M Fusion classes at the beautiful Yerba Buena Gardens, in the heart of downtown San Francisco. We are excited to bring people together and to work with YBG Festival to energize the Gardens with the joy of music and dance.","https://www.google.com/maps/place/Yerba+Buena+Gardens+Festival/@37.7848385,-122.404914,17z/data=!3m1!4b1!4m5!3m4!1s0x808580876af7ee6b:0xfe34abb7c8f1c00f!8m2!3d37.7848343!4d-122.40272",R&M Fusion,https://www.rhythmandmotion.com/news-events/2022/3/3/free-outdoor-classes-at-yerba-buena-gardens,TRUE,FALSE,FALSE,37.7848385,-122.404914,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\dance.png
7 days,This is a gym membership with a wide range of classes available,https://goo.gl/maps/TFiWosGgfkdS3HPi8,17th Reasons Athletic club,http://www.17thstreetathleticclub.com/first-week-free,FALSE,TRUE,FALSE,37.7626339,-122.412576,San Francisco,California,United States,"1920 Bryant St, San Francisco, CA 94110",‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
14 Days,start  journey with a 30-45 minute introductory private workout session.,https://goo.gl/maps/VtTKqAVxi7XjDSUFA,Advance Wellness 14 Days Trial Membership,https://www.advancedwellness.com/special-offers/14-day-99-offer/,FALSE,TRUE,FALSE,37.782536,-122.450745,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
1 day,Pure Barre technique at gym,https://lp.purebarre.com/offer?offer_id=try-an-intro-class-for-free&location=&nearest=1&booking=1&clubready_referraltypeid=114993&clubready_referraltypeid_ca=undefined&purchase=null&utm_medium=paid&utm_source=google&utm_campaign=1121_null_sustained&utm_term=other&utm_content=lead_franchiseramp&aw_pixel=AW-540807246&aw_conversion=AW-540807246/jc0tCPbv0_8CEM6g8IEC&gclid=Cj0KCQjw48OaBhDWARIsAMd966A3nNANcXhbD5TKs71so6Cjs7iCoNEc_YNelvHZ4OQFjla0-EbbhD0aAkQ_EALw_wcB,Barre,https://lp.purebarre.com/,FALSE,TRUE,FALSE,37.7719296,-122.4890114,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
I class,"Barre3 is a full-body balanced workout combining strength conditioning, cardio, and mindfulness that will leave you feeling balanced in body and empowered from within.",https://maps.app.goo.gl/HaFHFJqzqCLoor7o8,barre3 Class,https://clients.mindbodyonline.com/ASP/main_shop.asp?stype=41&pMode=4&reSchedule=&origId=&recType=&recNum=,FALSE,TRUE,FALSE,47.0489745,-124.042787,,,,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
3 days,Brazilian Jiu Jitsu,https://goo.gl/maps/uk21Bc81jquDoJo67,Brazilian Jiu Jitsu,https://bjjsanfrancisco.com/free-trial/,FALSE,TRUE,FALSE,37.7422861,-122.4217512,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
3,3 day free gym trial,https://maps.app.goo.gl/GRQyNKHaxXNpC56e7,City Sport club,https://citysportsfitness.com/pages/freepass.aspx?clubID=914,FALSE,TRUE,FALSE,37.7297281,-122.4765327,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
2 CLASSES PER WEEK,THIS IS A VIRTUAL  REALITY GYM!,https://crossfitpotrerohill.com/schedule/,CROSSFIT GYM MEMBERSHIP,https://crossfitpotrerohill.com/membership/,FALSE,TRUE,FALSE,37.7680464,-122.4043417,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
3 days,"Designed for the athlete looking to take their skills to the next level, this full-body workout features strength intervals paired with cardio bursts, to rev-up your metabolism for maximum caloric burn",https://goo.gl/maps/nmFXuiZPJ6YuUNv17,Crunch Fitness - Deisel,https://info.crunch.com/free-trial-3?club=50&utm_campaign=Florence-%20BMF&utm_source=ppc&utm_medium=cpc&gclid=CjwKCAiApvebBhAvEiwAe7mHSFLXiCw8Z3TwknNXRpAx2fwbT7YYe0ZD9ssLd16MehWjOprLKRbM-BoC5Z0QAvD_BwE,FALSE,TRUE,FALSE,37.8004067,-122.4417253,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
30,multi-studio boutique gym,https://www.bing.com/maps/directions?rtp=adr.~pos.47.64968490600586_-122.34906768798828_710+N+34th+St%2c+Seattle%2c+WA+98103_Flow+Fitness_(206)+268-0816,flow fitness,https://www.flowfitnessseattle.com/30-day-experience/,FALSE,TRUE,FALSE,47.6496543,-122.3516865,Seattle,King County,Washington,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
three days,"Zumba,body combat",https://www.google.com/maps/place/24+Hour+Fitness/@37.764,free trial find class CARDIO & HIIT CYCLE DANCE MIND-BODY STRENGTH ACTIVE AGING VIRTUAL,https://www.24hourfitness.com/membership/why_24/,FALSE,TRUE,FALSE,37.7253864,-122.4646244,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
1 hour for 7 days a week,"Dance with Zumba in the Parks!  We offer free Zumba classes, allowing program participants to get outside, stay active and enjoy a fun, exhilarating activity with San Francisco parks as the backdrop",https://sfrecpark.org/1183/Zumba-in-the-Parks,Free Zumba in the park,https://sfrecpark.org/1183/Zumba-in-the-Parks,FALSE,TRUE,FALSE,37.7680277,-122.4946113,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
14,fitness,"https://www.google.com/maps/@37.0625,-95.677068,4z?hl=en",JCCSF Fitness Center,https://www.jccsf.org/join/,FALSE,TRUE,FALSE,37.0625,-95.677068,Montgomery County,Kansas,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
1,In person and online bootcamp style,https://www.koifitness.com/locations,KOI Fitness,https://www.koifitness.com/pricing,FALSE,TRUE,FALSE,37.77147,-122.4732785,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
3 days,Virtual,https://www.google.com/maps?q=free+trial+membership+in+san+francisco&client=safari&channel=iphone_bm&prmd=insv&biw=390&bih=664&dpr=3&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjE6dSLmuv6AhU0FlkFHUJaBWQQ_AUIGSgF,LA Fitness,https://www.lafitness.com/Pages/freepass.aspx?CorporateID=4e1c1321-d199-406a-b0e4-5fa8dd4172da&gclid=EAIaIQobChMIpM6dupnr-gIVGbjICh231QDiEAAYAiAAEgLrbvD_BwE,FALSE,TRUE,FALSE,37.7758207,-122.4929616,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
11 days,this is a realitic amazing gym.,https://goo.gl/maps/VfFskA6z4A6sZfLFA,live fit gym wellness club,https://livefitgym.com,FALSE,TRUE,FALSE,37.7758207,-122.4929616,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
14,none,"https://www.google.com/maps?sll=42.350847,-71.069876&q=Lynx+Fitness+Club+Boston,+United+States&z=12",lunx fitness club,https://lynxfitnessclub.com/group-fitness-classes,FALSE,TRUE,FALSE,42.350847,-71.069876,Boston,Suffolk County,Massachusetts,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
30,"Orangetheory is a total-body group workout that combines science, coaching and technology to guarantee maximum results from the inside out",https://www.orangetheory.com/en-us/locations/,orangetheory,https://www.orangetheory.com/en-us/promotion-terms/,FALSE,TRUE,FALSE,37.68424486,-122.4704361,Daly City,San Mateo County,California,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
ETA 30 days,FREE FITNESS TRAINING,https://www.planetfitness.com/gyms/san-francisco-ca,Planet Fitness,https://www.planetfitness.com/gyms/san-francisco-ca,FALSE,TRUE,FALSE,37.7199499,-122.4581067,San Francisco,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
7 day free pass,The Best Full-Service Gym in Capitol Hill with a Tight-Knit Community Feel,https://rivalfitnessseattle.com/7-day-free-pass/,Rival Fitness,https://rivalfitnessseattle.com/7-day-free-pass/,FALSE,TRUE,FALSE,47.6153619,-122.3274096,Seattle,King County,Washington,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
3 days,strength training,https://goo.gl/maps/e4FrPDhS7aGszqtP8,strength camp sf,https://strengthcampsf.pushpress.com/landing/plans/plan_2de356184e1cf8/login,FALSE,TRUE,FALSE,37.7060549,-122.4601367,Daly City,San Mateo County,California,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
30 days,"Regulate the mind and build a stronger body. We combine mindfulness, pilates, and dance cardio all into a unique workout to help you feel better.Â ","https://www.google.com/maps/place/2433+Main+St,+Santa+Monica,+CA+90405/@34.0036476,-118.4873514,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2bad4951ed4df:0xef8645c9ce0385d6!8m2!3d34.0036432!4d-118.4847765",The Class,https://www.theclass.com/sffreetrial,FALSE,TRUE,FALSE,34.0036476,-118.4873514,Santa Monica,Los Angeles County,California,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
10 days,Physical gym in oceanside,https://maps.app.goo.gl/?utm_campaign=ml_promo&pcampaignid=ml-nav&apn=com.google.android.apps.maps&amv=965100030&link=https%3A%2F%2Fwww.google.com%2Fmaps%2Fdir%2F%2F3533%2BCannon%2BRd%2C%2BOceanside%2C%2BCA%2B92056%2F%4033.0032859%2C-117.2092734%2C9z%2Fdata%3D!4m6!4m5!1m0!1m2!1m1!1s0x80dc75f4c2bb2721%3A0x71e1452bc47000df!3e0!11m1!6b1%3Fentry%3Dml&isi=585027354&ibi=com.google.Maps&ius=comgooglemapsurl&pt=9008&mt=8&ct=ml-nav&efr=1,Ymca,http://www6.vr.com/?template=ARROW_3&tdfs=1&s_token=1666106340.0281010000&uuid=1666106340.0281010000&term=VR%20Showroom&term=Virtual%20Reality%20Training%20Software&term=Virtual%20Reality%20Video%20Conferencing&searchbox=0&showDomain=0&backfill=0,FALSE,TRUE,FALSE,33.0032859,-117.2092734,San Diego County,California,United States,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
3 days,Vinyasa yoga is smooth flowing and focuses on nurturing strength & flexibility in the spine as well as the supportive muscle groups.,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54901500aeefb94f:0x70ce67a56946f583?source=g.page.share,Yoga Vinyasa,https://fremonthc.com/free-3-day-trial,FALSE,TRUE,FALSE,47.6492576,-122.3463625,Seattle,King County,Washington,None,‪C:\Users\MALIK SAEED\Desktop\FitnessApp\frontend\dashboard\src\images\fitness.png
